Postnumber;Date;Allgemein;Vorspeisen;Hauptspeisen;Frühstück;Beilagen;Süßes;Getränke;Frühling;Sommer;Herbst;Winter;on  Tour;Nachspeisen;Pasta  und  Risotto;Suppen;aus  der  Backstube;Kleinigkeiten;kleine  Geschenke;Wie  macht  man  eigentlich...?;Fit  &  Healthy  Friday; "Stiftung  Chaosküchen-Test ";Blogs  that  rock;aus  dem  Eisfach;Selfmade  Sunday;Eat  like  a  Swabian;Books  that  rock
post-12516;29/06/2016;true;true;false;false;false;false;false;false;true;false;false;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false
post-12493;21/06/2016;true;true;false;false;true;false;false;false;true;false;false;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false
post-12486;16/06/2016;true;false;true;false;false;false;false;true;true;true;true;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false
post-12477;10/06/2016;true;true;true;false;true;false;false;true;true;false;false;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false
post-12466;04/06/2016;true;false;false;false;false;true;false;false;true;false;false;false;true;false;false;false;true;false;false;false;false;false;true;false;false;false
post-12447;02/06/2016;true;false;true;false;true;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
post-12424;31/05/2016;true;true;false;false;false;false;false;true;true;true;false;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false
post-12396;29/05/2016;true;false;false;false;false;false;false;true;true;true;false;false;false;false;false;false;true;true;false;false;false;false;false;false;false;false
post-12387;28/05/2016;true;false;true;false;false;false;false;true;false;true;true;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false
post-12366;24/05/2016;true;false;false;false;true;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
post-12352;22/05/2016;true;false;false;false;true;false;false;true;true;true;true;false;false;false;false;true;true;false;false;false;false;false;false;false;false;false
post-12333;21/05/2016;true;false;false;true;false;true;false;true;true;true;true;false;true;false;false;true;false;true;false;false;false;false;false;false;false;false
post-12339;17/05/2016;true;false;true;false;true;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
post-12322;16/05/2016;true;true;true;false;false;false;false;false;true;true;false;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false
post-12307;10/05/2016;true;false;false;false;false;true;false;false;true;false;false;false;true;false;false;false;true;false;false;false;true;false;true;false;false;false
post-12298;09/05/2016;true;true;true;false;true;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
post-12290;06/05/2016;true;false;false;false;false;true;false;true;true;true;true;false;true;false;false;false;true;false;false;false;false;false;false;false;false;false
post-12221;01/05/2016;true;false;false;false;false;false;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false
post-12198;26/04/2016;true;false;false;false;true;false;false;true;true;true;true;false;false;false;false;true;true;false;false;false;false;false;false;false;false;false
post-12188;24/04/2016;true;false;false;false;false;true;false;true;true;true;true;false;true;false;false;true;true;true;false;false;false;false;false;false;false;false
post-12181;21/04/2016;true;false;false;true;false;false;false;true;true;true;true;false;true;false;false;false;true;true;false;false;false;false;false;false;false;false
post-12160;19/04/2016;true;true;true;false;true;false;false;true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false
post-12158;17/04/2016;true;false;true;false;false;false;false;true;true;true;true;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false
post-12148;10/04/2016;true;false;false;false;true;false;false;true;true;true;true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false
post-12133;07/04/2016;true;false;true;false;false;false;false;true;true;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false
post-12120;04/04/2016;true;true;false;false;true;false;false;true;true;true;true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false
post-12109;31/03/2016;true;false;false;false;true;false;false;true;true;true;true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false
post-12086;24/03/2016;true;false;false;false;false;true;false;false;true;false;false;false;true;false;false;true;true;false;false;false;false;false;false;false;false;false
post-12069;15/03/2016;true;false;true;false;false;false;false;true;true;true;true;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false
